id,school_code,name,type,region,source
u-mext-F113310103509,F113310103509,武蔵大学,private,関東,mext
u-mext-F113310103518,F113310103518,東京都市大学,private,関東,mext
u-mext-F113310103527,F113310103527,武蔵野音楽大学,private,関東,mext
u-mext-F113310103536,F113310103536,明治大学,private,関東,mext
u-mext-F113310103545,F113310103545,明治学院大学,private,関東,mext
u-mext-F113310103554,F113310103554,明治薬科大学,private,関東,mext
u-mext-F113310103563,F113310103563,立教大学,private,関東,mext
u-mext-F113310103572,F113310103572,立正大学,private,関東,mext
u-mext-F113310103581,F113310103581,早稲田大学,private,関東,mext
u-mext-F113310103590,F113310103590,国際仏教学大学院大学,private,関東,mext
u-mext-F113310103607,F113310103607,学習院女子大学,private,関東,mext
u-mext-F113310103616,F113310103616,東京国際工科専門職大学,private,関東,mext
u-mext-F113310103625,F113310103625,東京保健医療専門職大学,private,関東,mext
u-mext-F113310103634,F113310103634,情報経営イノベーション専門職大学,private,関東,mext
u-mext-F113310103643,F113310103643,大学院大学至善館,private,関東,mext
u-mext-F113310103652,F113310103652,東京通信大学,private,関東,mext
u-mext-F113310103661,F113310103661,国際ファッション専門職大学,private,関東,mext
u-mext-F113310103670,F113310103670,駒沢女子大学,private,関東,mext
u-mext-F113310103689,F113310103689,亜細亜大学,private,関東,mext
u-mext-F113310103698,F113310103698,桜美林大学,private,関東,mext
u-mext-F113310103705,F113310103705,国立音楽大学,private,関東,mext
u-mext-F113310103714,F113310103714,国際基督教大学,private,関東,mext
u-mext-F113310103723,F113310103723,白百合女子大学,private,関東,mext
u-mext-F113310103732,F113310103732,成蹊大学,private,関東,mext
u-mext-F113310103741,F113310103741,玉川大学,private,関東,mext
u-mext-F113310103750,F113310103750,津田塾大学,private,関東,mext
u-mext-F113310103769,F113310103769,帝京大学,private,関東,mext
u-mext-F113310103778,F113310103778,東京経済大学,private,関東,mext
u-mext-F113310103787,F113310103787,東京女子体育大学,private,関東,mext
u-mext-F113310103796,F113310103796,東京神学大学,private,関東,mext
u-mext-F113310103803,F113310103803,東京造形大学,private,関東,mext
u-mext-F113310103812,F113310103812,桐朋学園大学,private,関東,mext
u-mext-F113310103821,F113310103821,日本獣医生命科学大学,private,関東,mext
u-mext-F113310103830,F113310103830,武蔵野大学,private,関東,mext
u-mext-F113310103849,F113310103849,武蔵野美術大学,private,関東,mext
u-mext-F113310103858,F113310103858,明星大学,private,関東,mext
u-mext-F113310103867,F113310103867,和光大学,private,関東,mext
u-mext-F113310103876,F113310103876,杏林大学,private,関東,mext
u-mext-F113310103885,F113310103885,創価大学,private,関東,mext
u-mext-F113310103894,F113310103894,日本文化大学,private,関東,mext
u-mext-F113310103901,F113310103901,東京工科大学,private,関東,mext
u-mext-F113310103910,F113310103910,日本赤十字看護大学,private,関東,mext
u-mext-F113310103929,F113310103929,恵泉女学園大学,private,関東,mext
u-mext-F113310103938,F113310103938,多摩大学,private,関東,mext
u-mext-F113310103947,F113310103947,東京純心大学,private,関東,mext
u-mext-F113310103956,F113310103956,嘉悦大学,private,関東,mext
u-mext-F113310103965,F113310103965,東京富士大学,private,関東,mext
u-mext-F113310103974,F113310103974,ＬＥＣ東京リーガルマインド大学院大学,private,関東,mext
u-mext-F113310103983,F113310103983,デジタルハリウッド大学,private,関東,mext
u-mext-F113310103992,F113310103992,白梅学園大学,private,関東,mext
u-mext-F113310104009,F113310104009,東京医療保健大学,private,関東,mext
u-mext-F113310104018,F113310104018,東京聖栄大学,private,関東,mext
u-mext-F113310104027,F113310104027,ビジネス・ブレークスルー大学,private,関東,mext
u-mext-F113310104036,F113310104036,グロービス経営大学院大学,private,関東,mext
u-mext-F113310104045,F113310104045,文化ファッション大学院大学,private,関東,mext
u-mext-F113310104054,F113310104054,大原大学院大学,private,関東,mext
u-mext-F113310104063,F113310104063,東京未来大学,private,関東,mext
u-mext-F113310104072,F113310104072,ハリウッド大学院大学,private,関東,mext
u-mext-F113310104081,F113310104081,ＳＢＩ大学院大学,private,関東,mext
u-mext-F113310104090,F113310104090,こども教育宝仙大学,private,関東,mext
u-mext-F113310104107,F113310104107,東京有明医療大学,private,関東,mext
u-mext-F113310104116,F113310104116,東京工芸大学,private,関東,mext
u-mext-F113310104125,F113310104125,産業能率大学,private,関東,mext
u-mext-F113310104134,F113310104134,ヤマザキ動物看護大学,private,関東,mext
u-mext-F113310104143,F113310104143,東京医療学院大学,private,関東,mext
u-mext-F113310104152,F113310104152,事業構想大学院大学,private,関東,mext
u-mext-F113310104161,F113310104161,社会構想大学院大学,private,関東,mext
u-mext-F113310104170,F113310104170,帝京科学大学,private,関東,mext
u-mext-F113310104189,F113310104189,東京情報デザイン専門職大学,private,関東,mext
u-mext-F113310104198,F113310104198,東京国際大学,private,関東,mext
u-mext-F113310112027,F113310112027,東京経営大学,private,関東,mext
u-mext-F114110104592,F114110104592,横浜国立大学,national,関東,mext
u-mext-F114110104609,F114110104609,総合研究大学院大学,national,関東,mext
u-mext-F114210104616,F114210104616,横浜市立大学,public,関東,mext
u-mext-F114210104625,F114210104625,神奈川県立保健福祉大学,public,関東,mext
u-mext-F114210111993,F114210111993,川崎市立看護大学,public,関東,mext
u-mext-F114310104632,F114310104632,星槎大学,private,関東,mext
u-mext-F114310104641,F114310104641,神奈川大学,private,関東,mext
u-mext-F114310104650,F114310104650,関東学院大学,private,関東,mext
u-mext-F114310104669,F114310104669,鶴見大学,private,関東,mext
u-mext-F114310104678,F114310104678,フェリス女学院大学,private,関東,mext
u-mext-F114310104687,F114310104687,横浜商科大学,private,関東,mext
u-mext-F114310104696,F114310104696,八洲学園大学,private,関東,mext
u-mext-F114310104703,F114310104703,情報セキュリティ大学院大学,private,関東,mext
u-mext-F114310104712,F114310104712,横浜薬科大学,private,関東,mext
u-mext-F114310104721,F114310104721,麻布大学,private,関東,mext
u-mext-F114310104730,F114310104730,神奈川歯科大学,private,関東,mext
u-mext-F114310104749,F114310104749,鎌倉女子大学,private,関東,mext
u-mext-F114310104758,F114310104758,湘南工科大学,private,関東,mext
u-mext-F114310104767,F114310104767,相模女子大学,private,関東,mext
u-mext-F114310104776,F114310104776,洗足学園音楽大学,private,関東,mext
u-mext-F114310104785,F114310104785,聖マリアンナ医科大学,private,関東,mext
u-mext-F114310104794,F114310104794,神奈川工科大学,private,関東,mext
u-mext-F114310104801,F114310104801,昭和音楽大学,private,関東,mext
u-mext-F114310104810,F114310104810,桐蔭横浜大学,private,関東,mext
u-mext-F114310104829,F114310104829,東洋英和女学院大学,private,関東,mext
u-mext-F114310104838,F114310104838,松蔭大学,private,関東,mext
u-mext-F114310104847,F114310104847,田園調布学園大学,private,関東,mext
u-mext-F114310104856,F114310104856,横浜美術大学,private,関東,mext
u-mext-F114310104865,F114310104865,日本映画大学,private,関東,mext
u-mext-F114310104874,F114310104874,横浜創英大学,private,関東,mext
u-mext-F114310104883,F114310104883,湘南医療大学,private,関東,mext
u-mext-F114310104892,F114310104892,湘南鎌倉医療大学　,private,関東,mext
u-mext-F114310104909,F114310104909,ビューティ＆ウェルネス専門職大学,private,関東,mext
u-mext-F114310104918,F114310104918,グローバルＢｉｚ専門職大学,private,関東,mext
u-mext-F114310112053,F114310112053,ＺＥＮ大学,private,関東,mext
u-mext-F115110105046,F115110105046,新潟大学,national,中部,mext
u-mext-F115110105055,F115110105055,長岡技術科学大学,national,中部,mext
u-mext-F115110105064,F115110105064,上越教育大学,national,中部,mext
u-mext-F115210105071,F115210105071,新潟県立看護大学,public,中部,mext
u-mext-F115210105080,F115210105080,新潟県立大学,public,中部,mext
u-mext-F115210105099,F115210105099,長岡造形大学,public,中部,mext
u-mext-F115210111849,F115210111849,三条市立大学,public,中部,mext
u-mext-F115310105104,F115310105104,長岡大学,private,中部,mext
u-mext-F115310105113,F115310105113,新潟医療福祉大学,private,中部,mext
u-mext-F115310105122,F115310105122,新潟青陵大学,private,中部,mext
u-mext-F115310105131,F115310105131,新潟工科大学,private,中部,mext
u-mext-F115310105140,F115310105140,新潟経営大学,private,中部,mext
u-mext-F115310105159,F115310105159,新潟国際情報大学,private,中部,mext
u-mext-F115310105168,F115310105168,敬和学園大学,private,中部,mext
u-mext-F115310105177,F115310105177,新潟薬科大学,private,中部,mext
u-mext-F115310105186,F115310105186,国際大学,private,中部,mext
u-mext-F115310105195,F115310105195,新潟産業大学,private,中部,mext
u-mext-F115310105202,F115310105202,事業創造大学院大学,private,中部,mext
u-mext-F115310105211,F115310105211,新潟リハビリテーション大学,private,中部,mext
u-mext-F115310105220,F115310105220,新潟食料農業大学,private,中部,mext
u-mext-F115310105239,F115310105239,開志専門職大学　,private,中部,mext
u-mext-F115310105248,F115310105248,長岡崇徳大学,private,中部,mext
u-mext-F116110105312,F116110105312,富山大学,national,中部,mext
u-mext-F116210105329,F116210105329,富山県立大学,public,中部,mext
u-mext-F116310105336,F116310105336,高岡法科大学,private,中部,mext
u-mext-F116310105345,F116310105345,富山国際大学,private,中部,mext
u-mext-F116310105354,F116310105354,桐朋学園大学院大学,private,中部,mext
u-mext-F117110105393,F117110105393,金沢大学,national,中部,mext
u-mext-F117110105400,F117110105400,北陸先端科学技術大学院大学,national,中部,mext
u-mext-F117210105417,F117210105417,公立小松大学,public,中部,mext
u-mext-F117210105426,F117210105426,石川県立大学,public,中部,mext
u-mext-F117210105435,F117210105435,金沢美術工芸大学,public,中部,mext
u-mext-F117210105444,F117210105444,石川県立看護大学,public,中部,mext
u-mext-F117310105451,F117310105451,金沢星稜大学,private,中部,mext
u-mext-F117310105460,F117310105460,金沢工業大学,private,中部,mext
u-mext-F117310105479,F117310105479,金沢医科大学,private,中部,mext
u-mext-F117310105488,F117310105488,北陸大学,private,中部,mext
u-mext-F117310105497,F117310105497,金沢学院大学,private,中部,mext
u-mext-F117310105503,F117310105503,金城大学,private,中部,mext
u-mext-F117310105512,F117310105512,北陸学院大学,private,中部,mext
u-mext-F117310111854,F117310111854,かなざわ食マネジメント専門職大学,private,中部,mext
u-mext-F118110105597,F118110105597,福井大学,national,中部,mext
u-mext-F118210105602,F118210105602,福井県立大学,public,中部,mext
u-mext-F118210105611,F118210105611,敦賀市立看護大学,public,中部,mext
u-mext-F118310105628,F118310105628,福井工業大学,private,中部,mext
u-mext-F118310105637,F118310105637,仁愛大学,private,中部,mext
u-mext-F118310105646,F118310105646,福井医療大学,private,中部,mext
